model,best_params,accuracy,precision,recall,f1,roc_auc
LogisticRegression,{'C': 0.01},0.9757206558758471,0.06143344709897611,0.9183673469387755,0.11516314779270634,0.9719432616884682
SGD,{'alpha': 0.001},0.976352656156736,0.06298110566829951,0.9183673469387755,0.11787819253438114,0.9640461523664052
DecisionTree,"{'max_depth': 15, 'min_samples_split': 2}",0.9954882202169868,0.24600638977635783,0.7857142857142857,0.3746958637469586,0.892133253132429
RandomForest,"{'max_depth': 12, 'n_estimators': 200}",0.9991748885221726,0.7297297297297297,0.826530612244898,0.7751196172248804,0.983463229129581
HistGradientBoosting,"{'learning_rate': 0.05, 'max_iter': 100}",0.9981039991573329,0.4647887323943662,0.673469387755102,0.55,0.8082518583544842
NaiveBayes,{'var_smoothing': 1e-09},0.9764053228468101,0.058781869688385266,0.8469387755102041,0.10993377483443709,0.9631829219448049
